ID,SEX,RACE,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
00718,M,White,0,8200,171456,246758,DebtCon,Sales,,0,0,138.15481817,0,21,40.337860758
00719,M,White,0,8200,72986,87621,DebtCon,Office,14,0,1,86.545727017,0,9,24.697430423
00720,M,Other,0,8200,172497,249071,DebtCon,Sales,,0,0,114.98197436,0,21,41.098025151
00721,F,Other,0,8200,51730,59025,DebtCon,Other,16,0,3,220.81329019,0,37,24.380092654
00722,F,White,0,8200,58536,66546,DebtCon,Other,1,0,2,118.39735837,2,17,34.71164955
00723,M,White,0,8200,68013,77008,DebtCon,ProfExe,8,0,0,49.146922298,1,23,40.792589704
00724,F,White,1,8200,47700,60000,DebtCon,Other,0.1,0,0,,0,0,
00725,M,Black,0,8200,76268,89166,HomeImp,Other,23,0,0,341.8553472,1,46,29.869576644
00726,M,White,0,8200,,38648,HomeImp,Other,,,,302.53018223,,10,30.445375631
00727,F,Black,0,8200,120837,176244,DebtCon,Other,8,0,0,196.72416054,0,20,34.745743152
00728,F,Black,0,8200,61821,64832,HomeImp,Other,5,0,0,123.28602489,0,34,35.875343986
00729,M,White,0,8200,66254,74994,DebtCon,ProfExe,7,0,0,60.384862517,1,24,39.72610514
00730,M,White,0,8200,,49331,HomeImp,Other,9,0,0,305.88808215,2,12,33.718613864
00731,M,Black,0,8200,67489,80145,HomeImp,Other,2,0,0,104.39650664,0,7,36.912310875
00732,F,White,1,8200,87979,94854,HomeImp,ProfExe,10,0,0,108.47902378,3,19,41.270682597
00733,F,White,0,8200,80989,105080,DebtCon,Mgr,1,0,0,81.354795297,1,24,38.4757705
00734,M,White,0,8200,135929,200275,DebtCon,ProfExe,0,0,0,69.617174882,1,23,37.805432649
00735,M,Black,0,8200,75870,97922,DebtCon,ProfExe,0,,,,,,27.276364919
00736,M,Other,0,8200,48515,59240,DebtCon,Other,17,0,4,214.14450966,0,36,27.459144234
00737,M,White,0,8200,79751,125413,HomeImp,Other,7,,,,,,41.985557292
00738,F,Black,0,8200,,33540,HomeImp,Office,21,0,0,178.68792754,0,15,36.601698856
00739,M,Other,0,8200,13392,34254,DebtCon,Other,3,0,0,267.91864156,0,11,21.929990488
00740,F,Black,1,8300,82000,111000,DebtCon,Other,6,2,2,214.1,2,12,
00741,F,Black,0,8300,57503,72704,DebtCon,Null,18,0,0,156.59370755,0,11,33.337118756
00742,M,White,0,8300,61213,65798,HomeImp,Other,6,0,0,86.296515758,2,20,41.426872232
00743,F,White,0,8300,41481,50448,HomeImp,Mgr,20,0,1,230.84886345,1,18,35.88829101
00744,M,Other,0,8300,14601,66143,HomeImp,Office,24,0,0,320.23488221,1,12,40.015070568
00745,F,Other,0,8300,51783,57839,DebtCon,Other,3,0,0,96.176673144,0,20,36.210351332
00746,M,White,0,8300,47000,78320,HomeImp,Other,18,0,0,195.83333333,1,17,
00747,M,White,0,8300,59761,75081,DebtCon,Null,17,0,0,147.94164245,1,11,31.959227235
00748,F,Asian,1,8300,,47244,HomeImp,Other,6,,,,,,
00749,F,White,0,8300,,41438,HomeImp,Other,,,,302.85663286,,12,30.104071436
00750,M,White,0,8300,178745,251935,DebtCon,Sales,,0,0,130.7309108,0,22,42.358059882
00751,F,White,0,8300,67715,86945,DebtCon,ProfExe,14,0,0,221.47492481,0,17,25.194297211
00752,F,Other,0,8300,44783,63424,HomeImp,Other,2,0,,97.900836205,,12,36.587869801
00753,F,Black,0,8300,45842,50006,DebtCon,Other,16,0,0,90.653070126,0,12,31.360821946
00754,M,Multiracial,0,8300,101150,115215,HomeImp,Office,23,0,0,130.25632943,0,12,36.50599948
00755,F,Other,0,8300,67839,76502,DebtCon,ProfExe,9,0,0,58.560174005,3,24,38.974293529
00756,F,White,0,8300,35343,51986,DebtCon,Other,10,0,0,242.81896695,1,31,37.966606016
00757,F,White,0,8300,54039,89301,HomeImp,Other,18,0,0,173.19132242,0,28,26.266815752
00758,M,Multiracial,0,8300,71922,117151,DebtCon,Office,2,0,0,246.93475819,1,37,18.156826624
00759,F,White,1,8300,10000,63775,HomeImp,Other,0,0,0,200.86666667,0,14,
00760,M,White,0,8400,75912,95329,DebtCon,Mgr,18,0,1,294.16422462,0,24,38.641804544
00761,F,Multiracial,0,8400,39677,54707,DebtCon,Office,10,0,0,203.24296532,1,23,31.217709755
00762,F,Other,0,8400,53841,64284,DebtCon,Other,15,0,3,206.35456436,0,36,26.054853712
00763,F,Multiracial,0,8400,39991,58511,HomeImp,Office,10,,,176.99611174,,19,24.298636083
00764,F,White,0,8400,82597,83858,HomeImp,Other,25,0,0,350.56813617,1,47,28.91075714
00765,M,Multiracial,0,8400,82972,121796,HomeImp,Other,7,,,,,,41.445623568
00766,F,White,0,8400,17479,66894,HomeImp,Office,23,0,0,326.34280468,1,13,40.588576066
00767,F,White,0,8400,62989,76718,HomeImp,Mgr,3,0,2,131.47138261,0,22,29.200400339
00768,F,White,0,8400,43589,49950,DebtCon,Office,9,0,0,202.70454037,0,23,33.592318942
00769,M,White,0,8400,62583,77481,DebtCon,Office,6,0,0,98.672705089,2,15,26.308380329
00770,M,White,0,8400,41656,51846,HomeImp,Office,10,,,190.01750256,,19,25.768965033
00771,F,Other,0,8400,77144,91532,DebtCon,Mgr,19,0,1,311.75718243,1,24,40.912736994
00772,M,White,0,8400,80490,93028,DebtCon,ProfExe,0,,,,,,29.473761481
00773,F,White,0,8400,60995,78444,HomeImp,Mgr,4,0,1,123.7385166,0,23,26.932707601
00774,M,White,1,8400,31800,72000,DebtCon,Self,,0,2,187.26666667,1,21,
00775,F,White,0,8400,43900,55000,DebtCon,Office,1,0,0,169.43333333,1,21,
00776,M,White,1,8400,44800,56000,DebtCon,Other,0,1,5,314.5,4,42,
00777,F,White,0,8400,30146,39326,HomeImp,ProfExe,11,0,0,183.09274953,0,12,23.097201883
00778,F,White,0,8400,84666,123613,HomeImp,Other,8,,,,,,39.658320047
00779,F,White,0,8400,,39106,HomeImp,Other,,,1,80.075339194,0,10,35.683502202
00780,F,White,0,8400,35240,54314,DebtCon,Office,8,0,0,210.58001479,1,22,32.571867291
00781,F,Other,0,8400,57103,78079,DebtCon,Other,0,0,0,56.30976479,8,21,23.521188257
00782,M,Other,0,8400,78089,90660,DebtCon,Mgr,9,0,0,118.63539467,0,22,27.09304112
00783,F,White,0,8400,77916,93589,DebtCon,ProfExe,0,,,,,,27.873870625
00784,F,White,1,8400,48032,95213,HomeImp,Office,5,1,4,326.67959049,0,30,38.191681736
00785,F,White,0,8400,57694,70782,HomeImp,Other,4,0,0,125.71032467,0,34,37.622785545
00786,M,White,0,8400,85136,125912,HomeImp,Other,9,,,,,,40.715178041
00787,M,White,0,8400,102894,117799,HomeImp,Other,9,,,420.09816444,1,49,39.633190088
00788,M,Other,1,8400,32000,49000,HomeImp,Mgr,12.6,0,3,41.3,2,18,
00789,F,Multiracial,1,8400,37256,45956,DebtCon,Other,1,0,0,214.44323,1,6,31.24524851
00790,F,Multiracial,0,8500,83157,202962,HomeImp,Self,14,0,0,13.68276401,,8,21.297339233
00791,F,White,0,8500,,42980,HomeImp,Other,,,1,76.010752573,0,9,37.659668201
00792,M,White,0,8500,73752,87931,DebtCon,Mgr,21,1,1,291.62037844,0,24,39.003140628
00793,M,White,0,8500,41210,45175,DebtCon,Office,9,0,0,209.49409472,1,22,29.96408198
00794,F,Asian,0,8500,,32907,HomeImp,Office,18,0,0,169.94538773,1,15,35.312710478
00795,M,White,1,8500,30077,42770,DebtCon,Office,0.25,0,0,89.266666667,0,10,
00796,M,White,0,8500,54000,62533,DebtCon,Other,4,0,1,313.46666667,0,10,
00797,F,White,0,8500,55100,66900,DebtCon,ProfExe,15,0,0,229.26666667,4,32,
00798,M,Black,1,8500,48961,73550,HomeImp,Other,11,6,1,145.1,4,11,
00799,M,White,1,8500,18240,40200,HomeImp,Other,1,0,1,306.4,0,12,
00800,F,White,0,8500,64665,72376,HomeImp,Other,4,0,0,70.934880772,3,20,40.309041225
00801,M,White,0,8500,50031,57276,DebtCon,Office,0,0,0,171.21281473,0,21,35.158702571
00802,M,Other,0,8500,61607,81126,HomeImp,Other,16,0,0,222.21119026,1,35,34.729698093
00803,F,Black,0,8500,49266,64461,DebtCon,Other,22,0,0,264.40802314,3,29,37.976757922
00804,F,Multiracial,0,8500,50569,60940,DebtCon,Mgr,6,0,0,189.94689772,0,22,29.202476735
00805,M,White,0,8500,,27873,HomeImp,Office,21,0,0,190.06187015,0,15,38.375406098
00806,M,Multiracial,0,8500,78346,82226,HomeImp,Other,22,0,0,320.34954262,1,47,30.199399523
00807,M,Other,0,8500,47777,78979,HomeImp,Other,18,0,0,202.95427654,1,16,34.828647504
00808,M,White,0,8500,53459,62678,DebtCon,Mgr,13,0,0,116.86344909,0,18,30.05290208
00809,F,White,0,8500,77954,82965,HomeImp,Other,25,0,0,350.7763043,1,46,28.584515556
00810,F,Black,1,8500,29383,45900,DebtCon,ProfExe,8,0,0,122.13333333,0,22,
00811,M,Other,0,8500,20959,62956,HomeImp,Office,20,0,0,315.70739138,1,13,41.077590657
00812,M,Asian,0,8500,6424,32365,Null,Null,,,,,,,33.904464501
00813,M,White,0,8500,58327,75044,HomeImp,Mgr,2,0,2,123.36535633,0,22,28.111813831
00814,M,White,0,8500,79484,87893,DebtCon,Other,1,0,0,123.61880309,1,10,35.759083852
00815,M,Multiracial,0,8500,73208,88588,DebtCon,Mgr,10,0,0,114.55258227,0,23,30.082488981
00816,M,White,0,8600,38646,54073,DebtCon,Other,14,0,0,89.555852767,0,11,32.530256646
00817,F,White,0,8600,,54905,HomeImp,Other,8,0,0,308.65011743,2,13,32.553976104
00818,M,White,0,8600,,47791,Null,Null,,,,,,,14.392536075
00819,M,White,0,8600,42380,60733,DebtCon,Mgr,3,0,0,199.29314197,0,22,28.434342078
00820,M,Other,1,8600,36933,42289,DebtCon,Mgr,4,0,0,100.61642113,2,26,38.436490085
00821,M,White,0,8600,21000,79000,HomeImp,ProfExe,21,0,0,239.43333333,0,11,
00822,F,White,1,8600,,25000,HomeImp,Other,0,6,0,64.866666667,2,27,
00823,M,Other,0,8600,78579,93697,DebtCon,Other,0,0,0,115.19332144,1,10,33.837202699
00824,F,Multiracial,0,8600,172418,251426,DebtCon,Sales,,0,0,120.57263313,0,22,40.925910594
00825,M,White,0,8600,58846,72733,DebtCon,ProfExe,14,0,0,233.17160046,3,32,39.775087851
00826,F,Black,0,8600,41126,55500,DebtCon,Other,6,0,0,73.033333333,1,11,
00827,M,White,0,8600,57727,70828,HomeImp,Other,5,0,0,87.845310974,3,19,41.75352499
00828,F,White,0,8600,22960,80874,HomeImp,ProfExe,20,0,0,238.70268339,0,11,25.887319897
00829,F,White,0,8600,75464,84263,HomeImp,Other,21,0,0,352.65827116,0,47,28.196714905
00830,M,Black,0,8600,,51703,Null,Null,,,,,,,12.10514386
00831,M,White,0,8600,42226,50386,HomeImp,Mgr,21,1,0,223.32646239,0,17,34.927866116
00832,F,Multiracial,0,8600,45960,57473,DebtCon,Mgr,4,0,0,189.76806013,0,22,26.754411554
00833,F,White,0,8600,76703,100862,HomeImp,Other,0,0,1,174.55712019,0,31,34.386230664
00834,M,White,1,8600,44992,66403,DebtCon,Other,8,0,0,172.55155504,1,27,43.875610821
00835,M,White,0,8600,14762,66271,HomeImp,Office,25,0,0,318.14927755,1,13,42.276634205
00836,M,Black,0,8600,61468,72143,DebtCon,Null,19,0,0,163.29885985,0,11,31.925766549
00837,M,Other,0,8600,66366,75957,DebtCon,ProfExe,8,0,0,72.916721072,2,25,39.660408739
00838,M,Other,0,8600,124810,176581,DebtCon,Other,8,0,0,213.30288482,1,19,32.876458514
00839,M,White,0,8700,46489,63573,DebtCon,Mgr,4,0,0,196.24907,1,21,28.787922854
00840,M,White,0,8700,57254,86883,HomeImp,Other,16,0,0,172.16656274,0,28,25.043436747
00841,F,White,0,8700,54283,58563,DebtCon,Office,3,0,1,91.446465165,3,11,38.590366936
00842,M,White,0,8700,58007,73069,DebtCon,ProfExe,14,0,0,240.43728186,3,31,37.897480893
00843,M,Asian,0,8700,54768,87268,HomeImp,Other,18,0,0,187.58057031,0,28,26.367134137
00844,M,White,0,8700,87415,201689,HomeImp,Self,13,0,0,13.924759121,,7,20.253863892
00845,F,White,0,8700,53073,83415,DebtCon,Null,2,0,0,211.26878022,3,29,30.201509456
00846,M,Multiracial,1,8700,62600,77600,DebtCon,Other,0.5,1,0,351.03333333,3,13,
00847,F,White,0,8700,60237,69891,DebtCon,Other,3,0,0,321.2748292,0,9,32.280313622
00848,F,Other,0,8700,77377,97070,DebtCon,Mgr,3,0,0,68.854877174,2,24,38.217725784
00849,M,Multiracial,0,8700,30716,84778,HomeImp,ProfExe,19,0,0,219.08523561,0,10,23.808894154
00850,F,Multiracial,0,8700,53504,66888,DebtCon,Mgr,7,,3,112.17512076,2,10,39.318772261
00851,F,Multiracial,0,8700,78817,115527,DebtCon,Office,1,0,0,221.55154133,1,37,16.378412953
00852,M,Black,1,8700,57141,70244,HomeImp,Other,8,0,0,106.85542816,0,19,31.891314262
00853,M,White,0,8700,79062,98038,DebtCon,ProfExe,4,0,0,139.26403364,0,26,33.578035539
00854,F,Asian,0,8700,,32855,HomeImp,Null,,,,,,,35.937902683
00855,F,Multiracial,0,8700,51950,67475,HomeImp,Other,4.5,0,1,246.46666667,2,16,
00856,F,White,0,8700,43759,50070,HomeImp,Mgr,19,1,1,218.9062534,0,17,34.058146802
00857,M,White,0,8700,93759,119459,HomeImp,Office,24,0,0,138.09123004,1,12,38.729710894
00858,M,White,0,8700,76008,95976,DebtCon,ProfExe,0,,,,,,30.022245155
00859,M,Asian,0,8700,50711,87898,DebtCon,Null,4,0,0,209.5214385,4,30,32.743007077
00860,M,Black,0,8700,62400,81315,DebtCon,Office,6,0,0,98.028870439,2,14,26.620897734
00861,F,Multiracial,0,8700,77930,80164,HomeImp,Other,20,0,0,350.52840986,1,47,29.6623601
00862,M,White,0,8700,58060,65605,DebtCon,Other,23,0,0,259.6838134,3,29,39.829999465
00863,F,Black,0,8700,51033,58513,DebtCon,Office,2,0,0,181.8697515,0,20,37.879278335
00864,F,White,0,8700,68186,82518,HomeImp,Other,1,0,0,105.10225507,0,7,36.44893885
00865,F,White,0,8700,52388,64332,HomeImp,Other,1,0,,91.112060841,,12,36.874927508
00866,F,White,0,8700,56904,64122,DebtCon,Mgr,5,,4,119.55547341,2,11,38.695614603
00867,M,White,0,8700,76510,108130,DebtCon,Office,2,0,0,252.84392821,1,37,17.414859614
00868,M,White,1,8800,12750,,HomeImp,Office,23,,,,,,
00869,F,White,1,8800,108608,,DebtCon,Mgr,0,0,6,253.47175859,4,23,
00870,M,White,1,8800,2800,18361,HomeImp,Other,2,3,1,107.76666667,4,3,
00871,F,White,0,8800,51740,60852,DebtCon,Other,23,0,0,277.58958861,3,29,39.885483806
00872,F,White,0,8800,135899,202788,DebtCon,ProfExe,1,0,0,53.767621524,1,23,35.932025066
00873,M,White,1,8800,67200,80300,HomeImp,Other,10,4,1,135.86666667,1,33,
00874,F,White,0,8800,26607,39710,HomeImp,Office,0,0,0,104.69282515,1,30,38.326728213
00875,M,Multiracial,0,8800,78953,93018,DebtCon,Mgr,7,0,0,110.72312997,0,22,28.289429173
00876,F,Black,1,8800,33395,51057,DebtCon,Office,2,0,0,80.822479691,1,20,16.883031014
00877,F,White,1,8800,32169,37533,DebtCon,Other,3,0,0,74.449294767,3,19,25.34174093
00878,M,White,0,8800,56963,70607,HomeImp,Other,4,0,0,99.76441458,3,19,40.345260733
00879,F,Black,1,8800,50000,68000,DebtCon,Other,19,0,0,108.9,0,16,
00880,F,White,0,8800,74562,89695,HomeImp,Other,24,0,0,338.77674581,1,47,28.439716511
00881,M,Multiracial,0,8800,101717,122299,HomeImp,Other,11,,,402.74048173,1,49,38.421427581
00882,M,White,0,8800,,74928,Null,Null,,,,,,,23.988913066
00883,M,White,0,8800,,32221,DebtCon,Other,0,0,0,276.84193488,0,14,24.198678371
00884,M,Multiracial,0,8800,73765,93917,DebtCon,Other,15,,,128.85330185,4,15,24.491198608
00885,F,Multiracial,0,8800,55990,89673,HomeImp,Other,18,0,0,184.62596594,0,29,27.701649739
00886,M,Other,0,8900,80334,87448,DebtCon,Mgr,18,0,0,279.87655021,0,23,38.513997448
00887,M,White,1,8900,33208,75000,DebtCon,Mgr,22,0,3,166.2,1,33,
00888,M,White,0,8900,75441,116950,HomeImp,Office,26,0,0,322.73119571,2,37,33.788523674
00889,F,White,0,8900,111493,133191,DebtCon,Self,6,0,0,159.43269808,0,19,34.3711489
00890,F,Asian,0,8900,63342,78275,DebtCon,Null,19,0,0,162.19648426,1,11,32.612662762
00891,F,White,0,8900,58503,74706,HomeImp,Other,6,0,0,243.93599625,1,16,36.793237169
00892,M,Black,1,8900,62733,77741,DebtCon,Mgr,8,0,0,68.890096166,3,17,37.773300594
00893,F,White,0,8900,58839,81223,DebtCon,Office,4,0,0,102.24646959,2,15,26.206409952
00894,F,White,1,8900,60782,100000,HomeImp,ProfExe,14,0,8,129.86666667,0,36,
00895,F,Black,1,8900,64343,84013,DebtCon,Other,4,0,0,39.221719253,0,12,35.788437459
00896,M,Black,1,8900,133847,157399,HomeImp,ProfExe,17,0,2,70.884144094,0,12,34.702330738
00897,M,Other,1,8900,147801,157335,HomeImp,Other,4,0,0,85.574865756,4,21,34.756560384
00898,M,White,0,8900,,42309,HomeImp,Other,,,1,56.937096348,0,10,37.35952991
00899,M,White,0,8900,,49147,HomeImp,Other,,,,110.50958053,,8,37.108142059
00900,F,Other,1,8900,72581,90585,DebtCon,Office,18,1,1,207.96666667,0,30,
00901,F,White,0,8900,77261,96434,DebtCon,ProfExe,3,0,0,144.03700388,0,26,33.908465844
00902,M,Multiracial,0,9000,50513,61190,DebtCon,Other,5,0,0,75.388551244,1,11,30.498005118
00903,F,White,0,9000,75453,100646,DebtCon,ProfExe,3,0,0,126.30983495,0,26,33.75846632
00904,F,Multiracial,0,9000,50170,64309,DebtCon,Mgr,7,,3,120.43122609,2,11,39.975489828
00905,F,Asian,0,9000,81248,92503,DebtCon,Other,0,0,0,121.1996495,2,10,37.390239889
00906,M,White,1,9000,90969,108606,HomeImp,Mgr,5,5,2,113.25750907,5,28,27.34759661
00907,F,White,0,9000,79259,84322,HomeImp,Other,22,0,0,359.33227239,1,47,29.671390341
00908,M,Black,0,9000,56162,75526,HomeImp,Other,6,0,0,127.7869696,0,15,35.734056816
00909,M,White,0,9000,51091,68264,DebtCon,Other,22,0,0,277.7556619,2,29,39.387317549
00910,F,White,0,9000,93521,126024,HomeImp,Other,9,,,411.75308126,1,49,41.664281039
00911,M,Black,1,9000,52311,68994,DebtCon,Office,0,0,1,137.78400363,0,9,28.454712858
00912,M,White,0,9000,8221,38290,DebtCon,Other,4,0,0,266.38379937,0,12,23.703067187
00913,F,White,0,9000,56930,67557,DebtCon,Other,0,0,1,118.69951614,2,18,36.686882044
00914,F,White,1,9000,52257,58275,DebtCon,Sales,5,0,0,80.251800985,0,21,34.144725947
00915,M,White,0,9000,41153,51841,DebtCon,Office,10,0,0,210.28268954,0,23,32.424293056
00916,M,Multiracial,1,9000,31170,50725,DebtCon,Other,16,0,0,93.066666667,0,18,
00917,F,White,1,9000,84532,104000,DebtCon,ProfExe,3,0,0,50.666666667,1,3,
00918,M,Black,0,9000,76964,90500,DebtCon,Other,3,0,0,101.4,2,32,
00919,F,White,0,9000,64917,102270,DebtCon,Other,10,0,0,213.03333333,0,21,
00920,M,Black,0,9000,,63684,HomeImp,Other,,0,0,358.06666667,0,7,
00921,F,White,0,9000,47350.86,105000,DebtCon,ProfExe,6,0,1,227.26666667,0,10,
00922,F,White,0,9000,50400,65000,DebtCon,Mgr,6,,,117.6,,24,
00923,M,Other,0,9000,96884,110108,DebtCon,Other,18,0,2,194.8,2,16,
00924,F,Black,0,9000,82700,121000,DebtCon,Office,9,0,0,131.9,1,22,
00925,M,White,0,9000,29000,51740,Null,Other,31,0,0,243.2,0,19,
00926,M,White,1,9000,43881,56000,DebtCon,Other,5,0,3,73.033333333,3,28,
00927,F,Black,1,9000,31896,46195,HomeImp,Other,25,0,2,122.38915525,3,16,36.681652146
00928,F,White,0,9000,56226,67466,HomeImp,Other,7,0,0,126.74508707,0,16,33.987846976
00929,M,White,1,9000,32539,65440,HomeImp,Office,5,,,,,,42.368944329
00930,M,White,0,9000,131108,199295,DebtCon,ProfExe,1,0,0,61.000985499,1,22,35.930610888
00931,M,White,0,9000,55367,79819,DebtCon,Office,5,0,0,101.28118497,1,15,27.189212901
00932,M,Black,0,9000,50866,73064,DebtCon,Mgr,5,,,118.57000497,,23,40.1860615
00933,F,White,0,9000,12340,36133,Null,Null,,,,,,,31.703814722
00934,M,White,0,9000,53177,56782,HomeImp,Other,9,0,0,106.50053701,3,33,40.084175502
00935,F,Multiracial,0,9100,,50391,Null,Null,,,,,,,15.024705832
00936,F,Other,0,9100,80719,86782,HomeImp,Other,23,0,0,333.01158975,1,47,30.39545792
00937,F,White,0,9100,50606,58822,DebtCon,Other,11,0,0,89.644833421,0,22,36.302409222
00938,F,Other,1,9100,17218,36721,DebtCon,Other,8,0,1,115.75209332,3,5,37.479410286
00939,F,White,0,9100,43249,52946,HomeImp,Mgr,20,1,1,228.39633986,1,18,35.181840743
00940,M,Asian,0,9100,48797,67761,DebtCon,Mgr,7,,3,116.97915477,3,11,37.79737881
00941,F,White,1,9100,,11550,HomeImp,Other,,0,0,51.933333333,1,3,
00942,M,Black,1,9100,78369,92000,DebtCon,Sales,0.2,0,0,180.83333333,3,35,
00943,F,Other,1,9100,28550,40300,HomeImp,Other,5,0,0,109.53563552,7,33,23.082905342
00944,M,Other,0,9100,24721,34462,DebtCon,Other,1,0,0,28.100520363,9,7,27.520682167
00945,F,White,0,9100,62976,77829,HomeImp,Mgr,0,0,2,131.19349603,0,23,26.090418913
00946,M,White,0,9100,46406,56134,HomeImp,Other,9,0,0,93.853460687,3,34,39.466330333
00947,F,Other,0,9100,,74450,Null,Null,,,,,,,23.942516508
00948,F,White,0,9100,53764,56429,HomeImp,Other,9,0,0,92.078978775,3,33,40.58208394
00949,F,Black,0,9100,78210,86558,DebtCon,Mgr,8,0,0,92.111504281,0,23,28.167074697
00950,M,White,0,9100,59430,76897,HomeImp,Other,5,0,1,246.09510911,1,16,37.470923376
00951,M,Multiracial,0,9100,47756,84022,HomeImp,Other,18,0,0,206.79736096,1,17,32.391146387
00952,F,Asian,0,9200,71994,95525,DebtCon,Other,16,,,126.81643919,3,16,25.621930492
00953,F,Black,0,9200,92395,114494,HomeImp,Office,24,0,0,130.3767882,1,11,39.112150358
00954,M,White,0,9200,55643,75267,HomeImp,Other,2,0,1,224.88223202,2,15,35.629354389
00955,F,Black,0,9200,19756,26140,DebtCon,Other,0,1,0,0.4867114508,9,7,27.075256643
00956,M,Black,0,9200,46707,60000,DebtCon,Mgr,4,0,0,192.8,2,17,
00957,F,Black,1,9200,64900,78000,DebtCon,Mgr,10,0,0,122.76666667,2,24,
00958,F,Black,1,9200,70715,85000,DebtCon,Office,26,0,0,143.06666667,2,23,
00959,F,White,0,9200,72859,88183,DebtCon,Mgr,8,0,0,105.65520523,0,23,29.007207774
00960,M,White,0,9200,52531,66491,DebtCon,Mgr,11,0,0,122.22853426,1,19,32.657628893
00961,M,White,0,9200,57375,69040,DebtCon,Other,0,0,1,116.41879645,2,18,36.625629459
00962,M,White,0,9200,48130,62358,DebtCon,Other,15,0,4,219.65713104,0,36,27.617063425
00963,F,White,0,9200,69657,89082,DebtCon,Null,3,0,0,217.32115468,0,16,28.749890366
00964,F,White,0,9300,79724,105493,DebtCon,Mgr,2,0,0,63.43088731,2,23,39.38611808
00965,M,White,0,9300,73252,100537,DebtCon,ProfExe,2,0,0,99.774527119,0,26,34.514635071
00966,F,White,0,9300,30204,57036,Null,Other,30,0,0,235.49281298,0,19,23.137840556
00967,M,White,0,9300,75425,109040,DebtCon,Office,2,0,0,235.9462106,0,38,17.875259065
00968,M,White,0,9300,,57650,HomeImp,Other,11,1,0,308.3394397,2,13,31.553835409
00969,F,White,0,9300,63566,70551,DebtCon,ProfExe,14,0,0,138.33735213,0,19,42.48370297
00970,M,White,0,9300,,45906,HomeImp,Other,,,,92.821714236,,9,36.141276164
00971,M,Other,0,9300,79133,100033,DebtCon,Other,3,0,0,102.16302743,2,31,40.794635454
00972,F,White,0,9300,46466,57182,DebtCon,Other,2,0,0,100.05186621,0,20,38.444317985
00973,M,Black,0,9300,59617,67709,HomeImp,Other,4,0,1,243.8307278,1,16,35.968280746
00974,M,White,0,9300,,36793,HomeImp,Other,,,,304.52018936,,11,30.738813764
00975,M,Multiracial,0,9300,58051,65334,DebtCon,Mgr,6,,,113.2818573,,23,41.860039809
00976,M,Multiracial,0,9300,39307,51680,DebtCon,Office,8,0,0,196.0146349,0,23,30.731571704
00977,M,Other,1,9300,84900,105798,DebtCon,ProfExe,2,0,0,41.807204596,1,3,26.956697896
00978,F,Other,1,9300,78000,97700,DebtCon,Mgr,12,0,2,88.5,4,29,
00979,M,White,1,9300,24000,37125,DebtCon,Office,3.5,1,1,148.03333333,2,19,
00980,F,White,0,9300,21138,30700,DebtCon,Other,3,,,,,,
00981,M,White,0,9300,44026,70535,HomeImp,Office,12,3,1,245.9,2,29,
00982,M,White,0,9300,,55350,HomeImp,Other,9,0,0,308.34033176,2,13,33.635525403
00983,F,White,0,9300,81986,94513,DebtCon,Other,2,3,0,,0,4,31.89390379
00984,M,White,0,9300,54088,66961,DebtCon,Other,22,0,0,278.1604735,3,28,40.82354171
00985,M,White,1,9300,38115,60493,DebtCon,Other,14,0,0,91.932632264,0,18,29.633608474
00986,M,Other,0,9300,53772,71497,HomeImp,Mgr,2,0,2,136.08002985,0,23,29.686670844
00987,M,Multiracial,0,9300,,44108,HomeImp,Other,,,,290.81807399,,12,29.743599964
00988,M,White,0,9300,21979,39880,DebtCon,Other,3,,,,,,38.844089335
00989,F,White,0,9300,106449,120066,DebtCon,Other,18,0,1,189.91991824,1,15,37.086455086
00990,M,White,0,9400,52371,55764,DebtCon,Office,1,0,0,177.70280043,0,20,37.35868805
00991,F,Other,0,9400,49484,59137,DebtCon,Other,10,0,0,102.27267659,0,22,37.269131082
00992,F,White,0,9400,,50575,HomeImp,Other,,,,99.06951832,,8,35.9078154
00993,M,White,0,9400,57105,67061,HomeImp,Other,6,0,0,129.50848379,0,34,35.734592764
00994,M,White,1,9400,52024,89107,HomeImp,Office,0,1,0,148.84473761,3,26,36.080031774
00995,F,Other,0,9400,85448,94101,DebtCon,Other,2,0,0,104.11336317,2,32,39.54184797
00996,F,Black,0,9400,56508,78358,DebtCon,Null,17,0,0,141.93115618,0,11,32.327495049
00997,M,White,0,9400,81596,116738,HomeImp,Office,28,0,0,338.62903535,1,38,34.169513676
00998,M,Multiracial,0,9400,76989,88788,HomeImp,Other,24,0,0,350.6390057,0,46,30.061371367
00999,F,White,0,9400,57000,70000,DebtCon,Other,4,0,0,179.56666667,2,17,
01000,F,White,0,9400,26700,40150,HomeImp,Other,9,0,0,80.166666667,0,4,
01001,F,White,0,9400,,30455,HomeImp,Office,18,0,0,194.61421604,0,16,39.000064863
01002,F,White,0,9400,61185,65302,DebtCon,Other,1,0,2,117.17100444,2,18,35.611943876
01003,M,Asian,0,9400,109991,125146,DebtCon,Self,7,0,1,171.67981114,0,18,34.813468594
01004,F,White,0,9400,122412,178547,DebtCon,Other,7,0,0,226.08880709,0,19,35.463386978
01005,M,White,0,9400,61213,70800,HomeImp,Other,5,0,0,75.862659733,3,20,39.403812388
